setting,n,model,metric,index,truth,estimate_mean,estimate_sd,bias,abs_bias,rmse,mae,mcse_mean,n_rep,n_obs,n_missing,source_files
heteroskedastic,1000,model_free_flow,category_effect,5,0.2572,0.25239802413264234,0.032198511853123946,-0.004801975867357588,0.004801975867357588,0.0323949949240757,0.025387424937050374,0.0032198511853123945,100,100,0,20
heteroskedastic,1000,empirical,category_effect,5,0.2572,0.25129234717033416,0.030313433622322288,-0.005907652829665839,0.005907652829665839,0.030734599027009424,0.024028334273272826,0.0030313433622322287,100,100,0,20
heteroskedastic,1000,ordered_logit,category_effect,5,0.2572,0.05740475245110555,0.027454107357273615,-0.19979524754889447,0.19979524754889447,0.2016539899773889,0.19979524754889447,0.0027454107357273616,100,100,0,20
heteroskedastic,1000,ordered_probit,category_effect,5,0.2572,0.04561817089063719,0.0253811853140081,-0.21158182910936282,0.21158182910936282,0.2130836289617956,0.21158182910936282,0.0025381185314008103,100,100,0,20
heteroskedastic,1000,structured_flow,category_effect,5,0.2572,0.023727083119448763,0.10274891833139715,-0.23347291688055127,0.23347291688055127,0.2548752042329778,0.2478195315200236,0.010274891833139715,100,100,0,20
heteroskedastic,1000,structured_flow,cumulative_ge_effect,2,-0.14665,-0.1753532743873803,0.06142024236205259,-0.028703274387380306,0.028703274387380306,0.06751740272442645,0.05817098933211187,0.006142024236205259,100,100,0,20
heteroskedastic,1000,structured_flow,cumulative_ge_effect,3,-0.139,-0.1834503060257409,0.06510482807830444,-0.044450306025740856,0.044450306025740856,0.07856259898002697,0.07299726350360984,0.006510482807830444,100,100,0,20
heteroskedastic,1000,structured_flow,cumulative_ge_effect,4,-0.06203,-0.175285321316857,0.08266322625170688,-0.11325532131685703,0.11325532131685703,0.13997015643051203,0.13886163028845042,0.008266322625170689,100,100,0,20
heteroskedastic,1000,structured_flow,cumulative_ge_effect,5,0.2572,0.023727083119448763,0.10274891833139715,-0.23347291688055127,0.23347291688055127,0.2548752042329778,0.2478195315200236,0.010274891833139715,100,100,0,20
heteroskedastic,1000,structured_flow,latent_beta,0,,-0.5844931735632664,0.5002660060688406,,,,,0.05002660060688406,100,100,0,20
heteroskedastic,1000,structured_flow,latent_beta,1,,0.17299344094281008,0.07142125852185131,,,,,0.0071421258521851315,100,100,0,20
heteroskedastic,1000,structured_flow,latent_beta,2,,-0.5479470782709032,0.23235564840651332,,,,,0.023235564840651333,100,100,0,20
heteroskedastic,1000,structured_flow,latent_beta,3,,0.1056436672207558,0.037589458641875594,,,,,0.0037589458641875593,100,100,0,20
heteroskedastic,1000,structured_flow,latent_beta,4,,-0.09030833001696158,0.035065942236938145,,,,,0.0035065942236938144,100,100,0,20
heteroskedastic,1000,structured_flow,wasserstein_unit,1,0.6048799999999999,0.5902334146441978,0.08210038554144125,-0.014646585355802133,0.014646585355802133,0.08299151182848497,0.060786523035744465,0.008210038554144126,100,100,0,20
heteroskedastic,2000,empirical,category_effect,1,0.14665,0.14693979360802614,0.015101199470804755,0.0002897936080261311,0.0002897936080261311,0.015028298091857116,0.011512209569630722,0.0015101199470804755,100,100,0,20
heteroskedastic,2000,model_free_flow,category_effect,1,0.14665,0.1454174375351397,0.01564725328969794,-0.0012325624648602995,0.0012325624648602995,0.01561753438884083,0.012456612923779782,0.001564725328969794,100,100,0,20
heteroskedastic,2000,structured_flow,category_effect,1,0.14665,0.1937909312435924,0.011521672829184718,0.04714093124359236,0.04714093124359236,0.04851483127712646,0.04714093124359236,0.0011521672829184718,100,100,0,20
heteroskedastic,2000,ordered_probit,category_effect,1,0.14665,-0.03678827865860023,0.01226082559547195,-0.1834382786586003,0.1834382786586003,0.18384348409195803,0.1834382786586003,0.0012260825595471951,100,100,0,20
heteroskedastic,2000,ordered_logit,category_effect,1,0.14665,-0.04382591458551186,0.012419502582800033,-0.19047591458551189,0.19047591458551189,0.19087633599047146,0.19047591458551189,0.0012419502582800032,100,100,0,20
heteroskedastic,2000,empirical,cumulative_ge_effect,2,-0.14665,-0.14693979360802614,0.015101199470804752,-0.000289793608026134,0.000289793608026134,0.015028298091857116,0.01151220956963072,0.0015101199470804751,100,100,0,20
heteroskedastic,2000,empirical,cumulative_ge_effect,3,-0.139,-0.14011131330627846,0.017438135765031126,-0.001111313306278446,0.001111313306278446,0.01738627937296455,0.013613585728811549,0.0017438135765031125,100,100,0,20
heteroskedastic,2000,empirical,cumulative_ge_effect,4,-0.06203,-0.06365609386779297,0.02233821084633366,-0.0016260938677929654,0.0016260938677929654,0.022285643101422496,0.01677458315825333,0.002233821084633366,100,100,0,20
heteroskedastic,2000,empirical,cumulative_ge_effect,5,0.2572,0.25853285323210123,0.021666562042208258,0.001332853232101246,0.001332853232101246,0.02159912056913183,0.017073595182079692,0.002166656204220826,100,100,0,20
