setting,n,model,metric,index,truth,estimate_mean,estimate_sd,bias,abs_bias,rmse,mae,mcse_mean,n_rep,n_obs,n_missing,source_files
heteroskedastic,500,ordered_logit,cumulative_ge_effect,2,-0.14665,0.04521251904714599,0.023719544285144726,0.191862519047146,0.191862519047146,0.19330860515869552,0.191862519047146,0.0023719544285144725,100,100,0,20
heteroskedastic,500,ordered_logit,cumulative_ge_effect,3,-0.139,0.05113150648071224,0.027012535304228605,0.19013150648071225,0.19013150648071225,0.1920217957669173,0.19013150648071225,0.0027012535304228604,100,100,0,20
heteroskedastic,500,ordered_logit,cumulative_ge_effect,4,-0.06203,0.06673057203158989,0.035993713941356406,0.12876057203158991,0.12876057203158991,0.13364833286936847,0.12876057203158991,0.0035993713941356404,100,100,0,20
heteroskedastic,500,ordered_logit,cumulative_ge_effect,5,0.2572,0.0670080531084111,0.037820201283395624,-0.19019194689158891,0.19019194689158891,0.19387893287120794,0.19019194689158891,0.0037820201283395626,100,100,0,20
heteroskedastic,500,ordered_logit,latent_beta,0,,0.3304824956270217,0.18407705885369305,,,,,0.018407705885369306,100,100,0,20
heteroskedastic,500,ordered_logit,latent_beta,1,,0.4102671119883114,0.15803610302328278,,,,,0.015803610302328276,100,100,0,20
heteroskedastic,500,ordered_logit,latent_beta,2,,-0.4861847786063896,0.07873460750018016,,,,,0.007873460750018015,100,100,0,20
heteroskedastic,500,ordered_logit,latent_beta,3,,0.27542975660843294,0.09003341606618716,,,,,0.009003341606618715,100,100,0,20
heteroskedastic,500,ordered_logit,latent_beta,4,,-0.22059724944444764,0.08127428700936079,,,,,0.008127428700936079,100,100,0,20
heteroskedastic,500,ordered_logit,wasserstein_unit,1,0.6048799999999999,0.230908833047205,0.1226773770230287,-0.37397116695279486,0.37397116695279486,0.393387436450318,0.37397116695279486,0.01226773770230287,100,100,0,20
heteroskedastic,500,model_free_flow,category_effect,4,-0.31923,-0.3124131266451332,0.04599025438392908,0.0068168733548667594,0.0068168733548667594,0.0462646974014941,0.03877285256839035,0.0045990254383929076,100,100,0,20
heteroskedastic,500,empirical,category_effect,4,-0.31923,-0.32941161457916945,0.039695851497451334,-0.010181614579169506,0.010181614579169506,0.04078809011568683,0.033220092966755,0.003969585149745133,100,100,0,20
heteroskedastic,500,structured_flow,category_effect,4,-0.31923,-0.2138856298971772,0.04417216230118037,0.10534437010282284,0.10534437010282284,0.11414510254714705,0.10577977343069372,0.004417216230118037,100,100,0,20
heteroskedastic,500,ordered_probit,category_effect,4,-0.31923,-0.0005029599087577223,0.002795491589065348,0.3187270400912423,0.3187270400912423,0.3187391766175232,0.3187270400912423,0.00027954915890653477,100,100,0,20
